A2ML1;144568;1
ABCA13;154664;1
AMY1A;276;1
ANKLE1;126549;1
ATP6V1C2;245973;1
BYSL;705;1
C11orf86;254439;1
C16orf57;79650;1
C16orf61;56942;1
C1QL2;165257;1
C1QL4;338761;1
C8orf47;203111;1
C9orf170;401535;1
CDC123;8872;1
CDK2AP1;8099;1
CDT1;81620;1
CEBPB;1051;1
CHODL;140578;1
CIRH1A;84916;1
CKS1B;1163;1
COL11A2;1302;1
CTSL2;1515;1
CXorf49B;100132994;1
CXorf61;203413;1
DMRT1;1761;1
ECE2;9718;1
ENO1;2023;1
ESYT3;83850;1
FAM136A;84908;1
FGF21;26291;1
FZD9;8326;1
GABBR2;9568;1
GAL;51083;1
GPN1;11321;1
GTPBP4;23560;1
HAO1;54363;1
HDGF;3068;1
HMGA1;3159;1
IFRD1;3475;1
ILF2;3608;1
IMPA2;3613;1
KCMF1;56888;1
KCNK5;8645;1
KCNN4;3783;1
KCNS1;3787;1
LEMD1;93273;1
LIN28B;389421;1
LOC84856;84856;1
MAGEB4;4115;1
MATN4;8785;1
MCM7;4176;1
MRPL2;51069;1
NKX1-2;390010;1
NR2E1;7101;1
NT5DC2;64943;1
NUDT5;11164;1
NUP93;9688;1
ODC1;4953;1
OLAH;55301;1
PDCD5;9141;1
PDIA6;10130;1
PDSS1;23590;1
PHGDH;26227;1
PIF1;80119;1
PLOD1;5351;1
PNMA3;29944;1
POU4F1;5457;1
POU5F1;5460;1
PRDM13;59336;1
PRSS33;260429;1
PSMG1;8624;1
PSRC1;84722;1
PVR;5817;1
RANBP1;5902;1
RASAL1;8437;1
RASGEF1C;255426;1
RBM38;55544;1
RCOR2;283248;1
RGR;5995;1
RNASEH1;246243;1
SLC7A5;8140;1
STMN1;3925;1
STRA8;346673;1
SUV39H2;79723;1
TBX19;9095;1
TLX3;30012;1
TMCC2;9911;1
TMEM39B;55116;1
TMPRSS5;80975;1
TTC7A;57217;1
TTLL4;9654;1
TUBB;203068;1
UBXN2A;165324;1
UCK2;7371;1
UQCRHL;440567;1
UQCRH;7388;1
YBX1;4904;1
AAGAB;79719;2
ABAT;18;2
ABCC8;6833;2
ABLIM3;22885;2
ACADSB;36;2
ACER2;340485;2
ACOT4;122970;2
ACOX2;8309;2
ADAMTS15;170689;2
AFF3;3899;2
AGGF1;55109;2
AGR2;10551;2
AGR3;155465;2
AKR7A3;22977;2
ANKMY1;51281;2
ANKRA2;57763;2
ANKRD30A;91074;2
ANKRD30B;374860;2
ANKRD42;338699;2
ANKRD43;134548;2
ANXA9;8416;2
APBB2;323;2
APH1B;83464;2
ARF3;377;2
ARSG;22901;2
AR;367;2
ATP7B;540;2
ATP8B1;5205;2
BBS1;582;2
BBS4;585;2
BBS5;129880;2
BCAM;4059;2
BCAS1;8537;2
BTG2;7832;2
BTRC;8945;2
C10orf26;54838;2
C10orf32;119032;2
C12orf72;254013;2
C14orf174;161394;2
C14orf45;80127;2
C16orf71;146562;2
C17orf28;283987;2
C17orf58;284018;2
C19orf51;352909;2
C1orf64;149563;2
C20orf26;26074;2
C4A;720;2
C4orf32;132720;2
C4orf34;201895;2
C5orf30;90355;2
C5orf36;285600;2
C6orf211;79624;2
C6orf97;80129;2
C7orf63;79846;2
C9orf106;414318;2
C9orf116;138162;2
C9orf152;401546;2
C9orf64;84267;2
C9orf98;158067;2
CA12;771;2
CACNA2D2;9254;2
CAPN13;92291;2
CAPN8;388743;2
CASC1;55259;2
CCDC125;202243;2
CCDC159;126075;2
CCDC24;149473;2
CCDC40;55036;2
CCDC48;79825;2
CCDC96;257236;2
CELSR1;9620;2
CHAD;1101;2
CHRD;8646;2
CIB3;117286;2
CIRBP;1153;2
CLSTN2;64084;2
CMBL;134147;2
COL4A3BP;10087;2
COQ7;10229;2
CPEB2;132864;2
CPLX1;10815;2
CRIP1;1396;2
CRNKL1;51340;2
CROT;54677;2
CRY2;1408;2
CST9;128822;2
CT62;196993;2
CTDSP1;58190;2
CXXC5;51523;2
CYBRD1;79901;2
CYP2B7P1;1556;2
CYP4Z2P;163720;2
DACH1;1602;2
DALRD3;55152;2
DAZAP2;9802;2
DCTN4;51164;2
DEFB132;400830;2
DEGS2;123099;2
DNAH5;1767;2
DNAH7;56171;2
DNAJC12;56521;2
DNAJC14;85406;2
DNAL1;83544;2
DNALI1;7802;2
DYNLRB2;83657;2
EFCAB6;64800;2
ELOVL5;60481;2
ENPP1;5167;2
EPB41L5;57669;2
ERBB3;2065;2
ERBB4;2066;2
ERGIC1;57222;2
ESR1;2099;2
EVL;51466;2
EXOC6;54536;2
F7;2155;2
FAAH;2166;2
FAM114A2;10827;2
FAM174A;345757;2
FAM174B;400451;2
FAM198B;51313;2
FAM47E;100129583;2
FBP1;2203;2
FBXL5;26234;2
FBXO36;130888;2
FBXO38;81545;2
FLJ45983;399717;2
FNIP1;96459;2
FOXA1;3169;2
FOXP1;27086;2
FRS2;10818;2
FSIP1;161835;2
FUT8;2530;2
FYCO1;79443;2
GALNT10;55568;2
GALNT7;51809;2
GAMT;2593;2
GATA3;2625;2
GFRA1;2674;2
GIN1;54826;2
GP2;2813;2
GPD1L;23171;2
GPR160;26996;2
GPR77;27202;2
GPR81;27198;2
GREB1;9687;2
GRPR;2925;2
HEXIM1;10614;2
HPX;3263;2
HSD17B4;3295;2
IGFALS;3483;2
IGFBP4;3487;2
IL6ST;3572;2
INPP4B;8821;2
INPP5J;27124;2
IVD;3712;2
JKAMP;51528;2
KCNH1;3756;2
KCNJ11;3767;2
KCNK15;60598;2
KCTD3;51133;2
KCTD6;200845;2
KDM4B;23030;2
KIAA0040;9674;2
KIAA0232;9778;2
KIAA1279;26128;2
KIAA1370;56204;2
KIAA1467;57613;2
KIF12;113220;2
KIF16B;55614;2
KLHDC1;122773;2
KRT18;3875;2
KRT37;8688;2
LASS6;253782;2
LCMT2;9836;2
LEO1;123169;2
LIMA1;51474;2
LMX1B;4010;2
LOC100130148;100130148;2
LOC145837;145837;2
LOC389033;389033;2
LONRF2;164832;2
LRBA;987;2
LRFN2;57497;2
LRIG1;26018;2
LRRC46;90506;2
LRRC48;83450;2
LRRC50;123872;2
LRTOMT;220074;2
MAGED2;10916;2
MAG;4099;2
MAP3K12;7786;2
MAPT;4137;2
MARVELD2;153562;2
MCCC2;64087;2
MGC3771;81854;2
MKL2;57496;2
MLPH;79083;2
MOAP1;64112;2
MYB;4602;2
MYST4;23522;2
NAT1;9;2
NCAM2;4685;2
NECAB3;63941;2
NEK10;152110;2
NEK5;341676;2
NOSTRIN;115677;2
NUDT12;83594;2
NXNL2;158046;2
P4HTM;54681;2
PARD6B;84612;2
PCBD2;84105;2
PCP2;126006;2
PCSK4;54760;2
PGGT1B;5229;2
PGLYRP2;114770;2
PGR;5241;2
PHGR1;644844;2
PLEKHF2;79666;2
PNPLA4;8228;2
PREX1;57580;2
PRICKLE2;166336;2
PRKAG1;5571;2
PRR15;222171;2
PRRT3;285368;2
PTPLAD1;51495;2
RAB17;64284;2
RAB27B;5874;2
RAB5B;5869;2
RABEP1;9135;2
RAI2;10742;2
RALGAPA1;253959;2
RALGPS2;55103;2
RAPGEF3;10411;2
RARA;5914;2
RBM47;54502;2
REEP5;7905;2
REEP6;92840;2
RGS22;26166;2
RHOB;388;2
RMND5B;64777;2
RND1;27289;2
RNF103;7844;2
RPH3AL;9501;2
RSPH1;89765;2
RUNDC1;146923;2
SCUBE2;57758;2
SEC16A;9919;2
SEMA3F;6405;2
SERPINA11;256394;2
SIDT1;54847;2
SKP1;6500;2
SLC16A6;9120;2
SLC22A5;6584;2
SLC26A3;1811;2
SLC39A6;25800;2
SLC39A9;55334;2
SLC40A1;30061;2
SLC44A4;80736;2
SLC46A1;113235;2
SLC4A8;9498;2
SLC7A13;157724;2
SLC7A2;6542;2
SLC7A8;23428;2
SLC9A3R1;9368;2
SPATA20;64847;2
SPDEF;25803;2
SPEF1;25876;2
SPEF2;79925;2
SPG11;80208;2
SPOPL;339745;2
SSH3;54961;2
STARD10;10809;2
SUOX;6821;2
SYBU;55638;2
SYNJ2BP;55333;2
SYT9;143425;2
SYTL2;54843;2
SYTL4;94121;2
SYTL5;94122;2
TADA2B;93624;2
TAPT1;202018;2
TBC1D9;23158;2
TCEAL1;9338;2
TCTN1;79600;2
TENC1;23371;2
TFF1;7031;2
TFF3;7033;2
THSD4;79875;2
TIGD6;81789;2
TLE3;7090;2
TMBIM4;51643;2
TMBIM6;7009;2
TMEM144;55314;2
TMEM25;84866;2
TMPRSS6;164656;2
TP53INP1;94241;2
TPRG1;285386;2
TPSG1;25823;2
TRIM3;10612;2
TSPAN13;27075;2
TSPAN1;10103;2
TTC36;143941;2
TTC39A;22996;2
TTC8;123016;2
TUBA3D;113457;2
TUBA3E;112714;2
UBXN10;127733;2
UGCG;7357;2
VAV3;10451;2
WDR19;57728;2
WDR65;149465;2
WFS1;7466;2
WWP1;11059;2
XBP1;7494;2
ZBTB42;100128927;2
ZBTB7A;51341;2
ZFYVE16;9765;2
ZMYND10;51364;2
ZNF446;55663;2
ZNF467;168544;2
ZNF552;79818;2
ZNF703;80139;2
ABCA10;10349;3
ABCA6;23460;3
ABCA8;10351;3
ABCA9;10350;3
ABCB1;5243;3
ADAM33;80332;3
ADCY4;196883;3
AKAP12;9590;3
ALDH1A2;8854;3
ANGPTL1;9068;3
AOC3;8639;3
ARHGAP20;57569;3
ARHGAP6;395;3
ARHGEF15;22899;3
ATOH8;84913;3
AVPR2;554;3
C1QTNF7;114905;3
C20orf103;24141;3
C21orf34;388815;3
CCDC80;151887;3
CCL14;6358;3
CILP;8483;3
CLDN5;7122;3
CLEC14A;161198;3
CLEC1A;51267;3
CNRIP1;25927;3
COL14A1;7373;3
CORO2B;10391;3
CPA3;1359;3
CXCL12;6387;3
CXorf36;79742;3
DARC;2532;3
